input,expected_facts
"我叫 PengGe，喜欢吃酸甜的食物。","[""Name is PengGe"", ""Likes sweet and sour food""]"
"今天天气真不错。","[]"
"把明天的会议取消吧。","[]"
"我是一名全栈架构师，专注于全栈开发。","[""Is a full stack architect"", ""Focuses on full stack development""]"
"我喜欢吃香菜，也很喜欢吃葱。","[""Likes coriander"", ""Likes green onions""]"
"记住我的生日是1978年6月14日。","[""Birthday is June 14th, 1978""]"
"帮我查一下去北京的机票。","[""Planning a trip to Beijing""]"
"你可以叫我老谭。","[""Nickname is Lao Tan""]"
"这个周末我要去爬山。","[""Planning to go hiking this weekend""]"
"ShuTong是一个很好的项目。","[]"
"你可以把背景颜色改成深色模式吗？","[""Prefers dark mode""]"
"我最近在学习Typescript语言。","[""Is learning Typescript language""]"
"我不喜欢别人叫我全名，叫我 Peng 就行。","[""Prefers to be called Peng"", ""Dislikes being called by full name""]"
"这里有一段代码：console.log('hello')","[]"
"我的狗叫坨坨，它很可爱。","[""Has a dog named TuoTuo""]"
